Channel              :		CH1		CH2
Frequency            :		1.381kHz		  ?
Period               :		0.724ms		  ?
PK-PK                :		703.1mV		5.469mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.012207mV
Time interval        :		0.20000uS		0.20000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
357		-312.500000		1.171875
358		-312.500000		2.929688
359		-312.500000		1.171875
360		-312.500000		2.539063
361		-312.500000		0.781250
362		-312.500000		2.148438
363		-312.500000		0.976563
364		-312.500000		2.148438
365		-312.500000		1.367188
366		-312.500000		1.757813
367		-312.500000		1.171875
368		-312.500000		1.757813
369		-312.500000		1.171875
370		-312.500000		1.757813
371		-312.500000		1.171875
372		-312.500000		2.734375
373		-312.500000		1.562500
374		-312.500000		2.734375
375		-312.500000		0.390625
376		-312.500000		1.953125
377		-312.500000		0.585938
378		-312.500000		2.343750
379		-312.500000		1.562500
380		-312.500000		2.539063
381		-312.500000		1.367188
382		-312.500000		2.148438
383		-312.500000		1.171875
384		-312.500000		1.367188
385		-312.500000		1.171875
386		-312.500000		2.343750
387		-312.500000		1.757813
388		-312.500000		3.125000
389		-312.500000		1.367188
390		-312.500000		2.539063
391		-312.500000		0.585938
392		-312.500000		2.148438
393		-312.500000		1.562500
394		-312.500000		2.929688
395		-312.500000		1.757813
396		-312.500000		2.929688
397		-312.500000		1.367188
398		-312.500000		1.757813
399		-312.500000		1.171875
400		-312.500000		1.757813
401		-312.500000		1.953125
402		-312.500000		2.539063
403		-312.500000		2.343750
404		-312.500000		1.562500
405		-312.500000		0.585938
406		-312.500000		1.562500
407		-312.500000		1.562500
408		-312.500000		2.929688
409		-312.500000		1.367188
410		-312.500000		2.734375
411		-312.500000		1.171875
412		-312.500000		1.757813
413		-312.500000		0.976563
414		-312.500000		1.757813
415		-312.500000		1.953125
416		-312.500000		2.539063
417		-312.500000		1.757813
418		-312.500000		2.539063
419		-312.500000		1.367188
420		-312.500000		1.953125
421		-312.500000		0.781250
422		-312.500000		2.148438
423		-312.500000		0.976563
424		-312.500000		3.125000
425		-312.500000		1.171875
426		-312.500000		2.343750
427		-312.500000		1.562500
428		-312.500000		1.562500
429		-312.500000		1.367188
430		-312.500000		1.953125
431		-312.500000		1.757813
432		-312.500000		2.148438
433		-312.500000		1.171875
434		-312.500000		1.367188
435		-312.500000		1.171875
436		-312.500000		1.953125
437		-312.500000		1.367188
438		-312.500000		2.929688
439		-312.500000		1.367188
440		-312.500000		2.539063
441		-312.500000		0.781250
442		-312.500000		1.953125
443		-312.500000		0.781250
444		-312.500000		1.562500
445		-312.500000		1.757813
446		-312.500000		2.539063
447		-312.500000		1.757813
448		-312.500000		1.562500
449		-312.500000		1.171875
450		-312.500000		1.367188
451		-312.500000		1.562500
452		-312.500000		2.343750
453		-312.500000		1.562500
454		-312.500000		2.734375
455		-312.500000		0.781250
456		-312.500000		1.757813
457		-312.500000		1.367188
458		-312.500000		2.343750
459		-312.500000		1.757813
460		-312.500000		2.343750
461		-312.500000		1.562500
462		-312.500000		1.562500
463		-312.500000		1.171875
464		-312.500000		1.171875
465		-312.500000		1.367188
466		-312.500000		2.148438
467		-312.500000		1.562500
468		-312.500000		2.148438
469		-312.500000		0.976563
470		-312.500000		1.757813
471		-312.500000		0.781250
472		-312.500000		1.757813
473		-312.500000		1.367188
474		-312.500000		2.734375
475		-312.500000		2.148438
476		-312.500000		2.343750
477		-312.500000		1.171875
478		-312.500000		1.367188
479		-312.500000		1.367188
480		-312.500000		1.562500
481		-312.500000		1.757813
482		-312.500000		1.953125
483		-312.500000		1.562500
484		-312.500000		1.953125
485		-312.500000		1.171875
486		-312.500000		0.976563
487		-312.500000		0.585938
488		-312.500000		2.148438
489		-312.500000		1.953125
490		-312.500000		3.320313
491		-312.500000		1.562500
492		-312.500000		1.757813
493		-312.500000		1.367188
494		-312.500000		1.171875
495		-312.500000		1.757813
496		-312.500000		1.953125
497		-312.500000		1.562500
498		-312.500000		1.562500
499		-312.500000		0.585938
500		-312.500000		1.562500
501		-312.500000		0.976563
502		-312.500000		2.148438
503		-312.500000		1.367188
504		-312.500000		2.539063
505		-312.500000		1.367188
506		-312.500000		1.562500
507		-312.500000		1.171875
508		-312.500000		1.367188
509		-312.500000		1.953125
510		-312.500000		2.148438
511		-312.500000		1.953125
512		-312.500000		1.953125
513		-312.500000		1.562500
