Channel              :,CH1,CH2
Frequency            :,3.021kHz,3.021kHz
Period               :,0.331ms,0.331ms
PK-PK                :,5.313V,632.8mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.488281mV
Time interval        :,0.20000uS,0.20000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
476,-3125.000000,7.812500
477,-3125.000000,7.812500
478,-3125.000000,7.812500
479,-3125.000000,7.812500
480,-3125.000000,7.812500
481,-3125.000000,7.812500
482,-3125.000000,7.812500
483,-3125.000000,7.812500
484,-3125.000000,7.812500
485,-3125.000000,7.812500
486,-3125.000000,7.812500
487,-3125.000000,7.812500
488,-3125.000000,7.812500
489,-3125.000000,7.812500
490,-3125.000000,7.812500
491,-3125.000000,7.812500
492,-3125.000000,7.812500
493,-3125.000000,7.812500
494,-3125.000000,7.812500
495,-3125.000000,7.812500
496,-3125.000000,7.812500
497,-3125.000000,7.812500
498,-3125.000000,7.812500
499,-3125.000000,7.812500
500,-3125.000000,7.812500
501,-3125.000000,7.812500
502,-3125.000000,7.812500
503,-3125.000000,7.812500
504,-3125.000000,7.812500
505,-3125.000000,7.812500
506,-3125.000000,7.812500
507,-3125.000000,7.812500
508,-3125.000000,7.812500
509,-3125.000000,7.812500
510,-3125.000000,7.812500
511,-3125.000000,7.812500
512,-3125.000000,7.812500
513,-3125.000000,7.812500
514,-3125.000000,7.812500
515,-3125.000000,7.812500
516,-3125.000000,7.812500
517,-3125.000000,7.812500
518,-3125.000000,7.812500
519,-3125.000000,7.812500
520,-3125.000000,7.812500
521,-3125.000000,7.812500
522,-3125.000000,7.812500
523,-3125.000000,7.812500
524,-3125.000000,0.000000
525,-3125.000000,0.000000
526,-3125.000000,0.000000
527,-3125.000000,0.000000
528,-3125.000000,0.000000
529,-3125.000000,0.000000
530,-3125.000000,0.000000
531,-3125.000000,0.000000
532,-3125.000000,0.000000
533,-3125.000000,0.000000
534,-3125.000000,0.000000
535,-3125.000000,0.000000
536,-3125.000000,0.000000
537,-3125.000000,0.000000
538,-3125.000000,0.000000
539,-3125.000000,0.000000
540,-3125.000000,0.000000
541,-3125.000000,0.000000
542,-3125.000000,0.000000
543,-3125.000000,0.000000
544,-3125.000000,0.000000
545,-3125.000000,0.000000
546,-3125.000000,0.000000
547,-3125.000000,0.000000
548,-3125.000000,0.000000
549,-3125.000000,0.000000
550,-3125.000000,0.000000
551,-3125.000000,0.000000
552,-3125.000000,7.812500
553,-3125.000000,7.812500
554,-3125.000000,7.812500
555,-3125.000000,7.812500
556,-3125.000000,7.812500
557,-3125.000000,7.812500
558,-3125.000000,15.625000
559,-3125.000000,15.625000
560,-3125.000000,15.625000
561,-3125.000000,15.625000
562,-3125.000000,15.625000
563,-3125.000000,15.625000
564,-3125.000000,23.437500
565,-3125.000000,23.437500
566,-3125.000000,23.437500
567,-3125.000000,23.437500
568,-3125.000000,23.437500
569,-3125.000000,23.437500
570,-3125.000000,23.437500
571,-3125.000000,23.437500
572,-3125.000000,23.437500
573,-3125.000000,23.437500
574,-3125.000000,31.250000
575,-3125.000000,23.437500
576,-3125.000000,23.437500
577,-3125.000000,23.437500
578,-3125.000000,23.437500
579,-3125.000000,23.437500
580,-3125.000000,23.437500
581,-3125.000000,23.437500
582,-3125.000000,23.437500
583,-3125.000000,23.437500
584,-3125.000000,23.437500
585,-3125.000000,23.437500
586,-3125.000000,23.437500
587,-3125.000000,23.437500
588,-3125.000000,15.625000
589,-3125.000000,15.625000
590,-3125.000000,15.625000
591,-3125.000000,15.625000
592,-3125.000000,15.625000
593,-3125.000000,15.625000
594,-3125.000000,15.625000
595,-3125.000000,15.625000
596,-3125.000000,15.625000
597,-3125.000000,15.625000
598,-3125.000000,15.625000
599,-3125.000000,7.812500
600,-3125.000000,7.812500
601,-3125.000000,7.812500
602,-3125.000000,7.812500
603,-3125.000000,7.812500
604,-3125.000000,7.812500
605,-3125.000000,7.812500
606,-3125.000000,7.812500
607,-3125.000000,7.812500
608,-3125.000000,7.812500
609,-3125.000000,7.812500
610,-3125.000000,7.812500
611,-3125.000000,7.812500
612,-3125.000000,7.812500
613,-3125.000000,7.812500
614,-3125.000000,7.812500
615,-3125.000000,7.812500
616,-3125.000000,7.812500
617,-3125.000000,7.812500
618,-3125.000000,7.812500
619,-3125.000000,7.812500
620,-3125.000000,7.812500
621,-3125.000000,7.812500
622,-3125.000000,7.812500
623,-3125.000000,7.812500
624,-3125.000000,7.812500
625,-3125.000000,7.812500
626,-3125.000000,7.812500
627,-3125.000000,7.812500
628,-3125.000000,7.812500
629,-3125.000000,7.812500
630,-3125.000000,7.812500
631,-3125.000000,7.812500
632,-3125.000000,7.812500
633,-3125.000000,7.812500
634,-3125.000000,7.812500
635,-3125.000000,7.812500
636,-3125.000000,7.812500
637,-3125.000000,7.812500
638,-3125.000000,7.812500
639,-3125.000000,7.812500
640,-3125.000000,7.812500
641,-3125.000000,7.812500
642,-3125.000000,7.812500
643,-3125.000000,7.812500
644,-3125.000000,7.812500
645,-3125.000000,7.812500
646,-3125.000000,7.812500
647,-3125.000000,7.812500
648,-3125.000000,7.812500
649,-3125.000000,7.812500
650,-3125.000000,7.812500
651,-3125.000000,7.812500
652,-3125.000000,7.812500
653,-3125.000000,7.812500
654,-3125.000000,7.812500
655,-3125.000000,7.812500
656,-3125.000000,0.000000
657,-3125.000000,0.000000
658,-3125.000000,0.000000
659,-3125.000000,0.000000
660,-3125.000000,0.000000
661,-3125.000000,0.000000
662,-3125.000000,0.000000
663,-3125.000000,0.000000
664,-3125.000000,7.812500
665,-3125.000000,7.812500
666,-3125.000000,7.812500
667,-3125.000000,7.812500
668,-3125.000000,7.812500
669,-3125.000000,7.812500
670,-3125.000000,7.812500
671,-3125.000000,7.812500
672,-3125.000000,7.812500
673,-3125.000000,7.812500
674,-3125.000000,7.812500
675,-3125.000000,0.000000
676,-3125.000000,7.812500
677,-3125.000000,0.000000
678,-3125.000000,7.812500
679,-3125.000000,7.812500
680,-3125.000000,7.812500
681,-3125.000000,7.812500
682,-3125.000000,7.812500
683,-3125.000000,7.812500
684,-3125.000000,7.812500
685,-3125.000000,7.812500
686,-3125.000000,7.812500
