Channel,CH1,CH2
Frequency            :,  ?,5.668kHz
Period               :,  ?,0.176ms
PK-PK                :,3.047V,82.81mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.048828mV
Time interval        :,1.00000uS,1.00000uS
index,CH1_Voltage(mV),CH2_Voltage(mV)
388,-1406.250000,7.031250
389,-1406.250000,9.375000
390,-1406.250000,11.718750
391,-1406.250000,9.375000
392,-1406.250000,10.156250
393,-1406.250000,7.812500
394,-1406.250000,7.031250
395,-1406.250000,4.687500
396,-1406.250000,3.906250
397,-1406.250000,0.000000
398,-1406.250000,-0.781250
399,-1406.250000,0.000000
400,-1406.250000,3.906250
401,-1406.250000,7.812500
402,-1406.250000,11.718750
403,-1406.250000,15.625000
404,-1406.250000,17.187500
405,-1406.250000,16.406250
406,-1406.250000,14.843750
407,-1406.250000,14.062500
408,-1406.250000,10.937500
409,-1406.250000,9.375000
410,-1406.250000,7.031250
411,-1406.250000,7.031250
412,-1406.250000,3.125000
413,-1406.250000,3.125000
414,-1406.250000,1.562500
415,-1406.250000,2.343750
416,-1406.250000,2.343750
417,-1406.250000,7.031250
418,-1406.250000,7.812500
419,-1406.250000,9.375000
420,-1406.250000,8.593750
421,-1406.250000,9.375000
422,-1406.250000,7.812500
423,-1406.250000,7.812500
424,-1406.250000,6.250000
425,-1406.250000,5.468750
426,-1406.250000,1.562500
427,-1406.250000,1.562500
428,-1406.250000,0.000000
429,-1406.250000,2.343750
430,-1406.250000,4.687500
431,-1406.250000,13.281250
432,-1406.250000,17.968750
433,-1406.250000,24.218750
434,-1406.250000,28.906250
435,-1406.250000,34.375000
436,-1406.250000,32.812500
437,-1406.250000,28.906250
438,-1406.250000,21.093750
439,-1406.250000,10.156250
440,-1406.250000,-3.125000
441,-1406.250000,-13.281250
442,-1406.250000,-21.093750
443,-1406.250000,-25.781250
444,-1406.250000,-26.562500
445,-1406.250000,-23.437500
446,-1406.250000,-14.062500
447,-1406.250000,-5.468750
448,-1406.250000,7.812500
449,-1406.250000,17.187500
450,-1406.250000,22.656250
451,-1406.250000,21.093750
452,-1406.250000,18.750000
453,-1406.250000,10.156250
454,-1406.250000,3.125000
455,-1406.250000,-4.687500
456,-1406.250000,-6.250000
457,-1406.250000,-7.031250
458,-1406.250000,-4.687500
459,-1406.250000,-0.781250
460,-1406.250000,6.250000
461,-1406.250000,10.156250
462,-1406.250000,13.281250
463,-1406.250000,15.625000
464,-1406.250000,16.406250
465,-1406.250000,13.281250
466,-1406.250000,10.937500
467,-1406.250000,7.812500
468,-1406.250000,2.343750
469,-1406.250000,-0.781250
470,-1406.250000,-1.562500
471,-1406.250000,-2.343750
472,-1406.250000,-2.343750
473,-1406.250000,0.781250
474,-1406.250000,3.906250
475,-1406.250000,8.593750
476,-1406.250000,12.500000
477,-1406.250000,18.750000
478,-1406.250000,23.437500
479,-1406.250000,25.000000
480,-1406.250000,25.000000
481,-1406.250000,24.218750
482,-1406.250000,21.093750
483,-1406.250000,17.968750
484,-1406.250000,12.500000
485,-1406.250000,10.937500
486,-1406.250000,7.031250
487,-1406.250000,5.468750
488,-1406.250000,3.125000
489,-1406.250000,5.468750
490,-1406.250000,3.906250
491,-1406.250000,3.906250
492,-1406.250000,3.906250
493,-1406.250000,4.687500
494,-1406.250000,0.781250
495,-1406.250000,-0.781250
496,-1406.250000,-5.468750
497,-1406.250000,-8.593750
498,-1406.250000,-14.062500
499,-1406.250000,-14.062500
500,-1406.250000,-13.281250
501,-1406.250000,-9.375000
502,-1406.250000,-5.468750
503,-1406.250000,2.343750
504,-1406.250000,7.031250
505,-1406.250000,10.937500
506,-1406.250000,13.281250
507,-1406.250000,16.406250
508,-1406.250000,16.406250
509,-1406.250000,16.406250
510,-1406.250000,15.625000
511,-1406.250000,14.062500
512,-1406.250000,11.718750
513,-1406.250000,10.937500
514,-1406.250000,10.937500
515,-1406.250000,10.156250
516,-1406.250000,8.593750
517,-1406.250000,10.156250
518,-1406.250000,10.937500
519,-1406.250000,10.156250
520,-1406.250000,10.937500
521,-1406.250000,10.937500
522,-1406.250000,10.937500
523,-1406.250000,9.375000
524,-1406.250000,7.031250
525,-1406.250000,0.781250
526,-1406.250000,-8.593750
527,-1406.250000,-14.062500
